0.0,0.8,N
0.8,3.1,G
3.1,6.5,D
6.5,10.600000000000001,G
10.600000000000001,12.200000000000001,Am
12.200000000000001,18.3,G
18.3,19.900000000000002,D
19.900000000000002,21.200000000000003,Am
21.200000000000003,24.700000000000003,G
24.700000000000003,25.700000000000003,C
25.700000000000003,26.5,Am
26.5,27.400000000000002,D
27.400000000000002,30.900000000000002,G
30.900000000000002,31.6,D
31.6,32.6,G
32.6,35.800000000000004,D
35.800000000000004,40.1,G
40.1,41.300000000000004,Em
41.300000000000004,42.1,C
42.1,48.300000000000004,G
48.300000000000004,50.800000000000004,D
50.800000000000004,55.1,G
55.1,56.900000000000006,Em
56.900000000000006,57.6,C
57.6,62.400000000000006,G
62.400000000000006,64.4,D
64.4,64.9,Em
64.9,65.4,Am
65.4,66.10000000000001,D
66.10000000000001,69.9,G
69.9,71.60000000000001,C
71.60000000000001,75.4,N
75.4,76.10000000000001,D
76.10000000000001,76.9,G
76.9,78.2,D
78.2,81.80000000000001,G
81.80000000000001,84.4,N
