0.0,1.0,G
1.0,3.6,C
3.6,4.1000000000000005,G
4.1000000000000005,4.800000000000001,Fm
4.800000000000001,7.0,Am
7.0,7.300000000000001,Gm
7.300000000000001,8.0,F
8.0,9.1,C
9.1,10.3,F
10.3,11.0,Am
11.0,12.9,Dm
12.9,16.7,G
16.7,18.6,Am
18.6,20.700000000000003,G
20.700000000000003,24.5,F
24.5,26.5,Am
26.5,28.6,G
28.6,32.300000000000004,F
32.300000000000004,34.4,G
34.4,35.9,F
35.9,39.5,G
39.5,42.6,C
42.6,43.5,Bm
43.5,44.5,E
44.5,48.2,Am
48.2,52.300000000000004,Dm
52.300000000000004,55.0,G
55.0,55.800000000000004,Em
55.800000000000004,58.2,C
58.2,60.0,Em
60.0,62.0,Am
62.0,63.0,Gm
63.0,63.900000000000006,C
63.900000000000006,66.10000000000001,F
66.10000000000001,67.7,Dm
67.7,71.7,G
71.7,72.6,C
